0.0,0.0,2
0.02875,0.1265,0
0.0345,0.15525,2
0.04025,0.184,2
0.0805,0.184,2
0.07475,0.15525,2
0.0345,0.15525,0
0.02875,0.1265,2
0.069,0.1265,2
0.04025,0.0,2
0.1955,0.2645,2
0.35075,0.0,2
0.0,0.0,0
0.069,0.0,1
0.0575,0.02875,0
0.0805,0.069,1
0.1495,0.08625,1
0.15065,0.10925,1
0.1265,0.10925,1
0.115,0.092,1
0.0943,0.092,0
0.11845,0.13225,1
0.161,0.13225,1
0.18975,0.1035,1
0.1909,0.069,1
0.1725,0.0,0
0.138,0.0,1
0.13915,0.0115,1
0.12075,0.0,0
0.12075,0.023,1
0.14375,0.046,1
0.1449,0.06325,1
0.10925,0.0345,1
0.12075,0.023,0
0.2185,0.0,1
0.23575,0.1035,1
0.207,0.1035,1
0.2185,0.13225,1
0.2415,0.13225,1
0.2415,0.1495,1
0.2415,0.1495,1
0.25645,0.161,0
0.2898,0.1035,1
0.27255,0.1035,1
0.2553,0.023,1
0.2783,0.023,1
0.27945,0.0,0
